New PHI-base Acc	Old PHI-base Acc	UniProt Acc	Gene Name (PHI-base)	Gene Names (UniProt)	Protein Names (UniProt)	EMBL Accessions (UniProt)	Pathogen Taxon	Disease	Host Taxon	Cotyledons	Tissue	GO Annotations (UniProt)	GO Annotations (PHI-base)	Phenotype Outcome	Defects	Inducers	CAS Registry IDs	ChEBI IDs	FRAC Codes	FRAC Mode of Action	FRAC Target Site	FRAC Group	FRAC Chemical Group	FRAC Common Name	FRAC Resistance Risk	FRAC Comment	Host Response	Experiment Specifications	Curators	Approver	Species Experts	PubMed IDs	Curation Date
PHI:I1205	PHI:1231	Q4I5U9	FGSG_10591	BUR1;FGSG_07409	Serine/threonine-protein kinase BUR1 (EC 2.7.11.22) (EC 2.7.11.23)	DS231666	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0070693: cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; GO:0008353: cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; GO:0000307: peptidyl-serine autophosphorylation [GO:0036289]; GO:0004693: peptidyl-threonine autophosphorylation [GO:1990443]; GO:0036289: peptidyl-tyrosine autophosphorylation [GO:0038083]; GO:1990443: phosphorylation of RNA polymerase II C-terminal domain [GO:0070816]; GO:0038083: positive regulation of histone H3-K4 methylation [GO:0051571]; GO:0070816: P-TEFb-cap methyltransferase complex [GO:0070693]; GO:0051571: regulation of transcription elongation from RNA polymerase II promoter [GO:0034243]; GO:0034243: RNA polymerase II carboxy-terminal domain kinase activity [GO:0008353]; GO:0006351: transcription, DNA-templated [GO:0006351]		POO:0000006:lethal	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1206	PHI:1232	I1RTC2	FGSG_03499	FGSG_07423	Uncharacterized protein	DS231666	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0070817: cyclin-dependent protein kinase activating kinase activity [GO:0019912]; GO:0008353: cytosol [GO:0005829]; GO:0070985: phosphorylation of RNA polymerase II C-terminal domain involved in recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex [GO:1901921]; GO:0019912: phosphorylation of RNA polymerase II C-terminal domain serine 5 residues involved in recruitment of mRNA capping enzyme to RNA polymerase II holoenzyme complex [GO:1900018]; GO:0005829: positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; GO:1901921: P-TEFb-cap methyltransferase complex localization [GO:0070817]; GO:1900018: regulation of mitotic cell cycle [GO:0007346]; GO:0032968: RNA polymerase II carboxy-terminal domain kinase activity [GO:0008353]; GO:0007346: TFIIK complex [GO:0070985]; GO:0006360: transcription from RNA polymerase II promoter [GO:0006366]; GO:0006366: transcription from RNA polymerase I promoter [GO:0006360]		POO:0000006:lethal	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1207	PHI:1233	I1RUG2	FGSG_13944	FGSG_07855	Uncharacterized protein	DS231666	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ascospore formation [GO:0030437]; GO:0006270: ATP binding [GO:0005524]; GO:0031431: chromosome, centromeric region [GO:0000775]; GO:0030437: cytosol [GO:0005829]; GO:0000775: Dbf4-dependent protein kinase complex [GO:0031431]; GO:0005829: DNA replication initiation [GO:0006270]; GO:0000727: double-strand break repair via break-induced replication [GO:0000727]; GO:0007135: meiosis II [GO:0007135]; GO:0001100: negative regulation of exit from mitosis [GO:0001100]; GO:0005634: nucleus [GO:0005634]; GO:0018105: peptidyl-serine phosphorylation [GO:0018105]; GO:0034504: protein localization to nucleus [GO:0034504]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]; GO:0031938: regulation of chromatin silencing at telomere [GO:0031938]		POO:0000006:lethal	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1208	PHI:1234	I1RV69	FGSG_07812	FGSG_08133	Phosphatidylinositol 3-kinase tor2	DS231667	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0008144: drug binding [GO:0008144]; GO:0016301: kinase activity [GO:0016301]; GO:0016773: phosphotransferase activity, alcohol group as acceptor [GO:0016773]		POO:0000006:lethal	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1209	PHI:1235	I1RWQ2	FGSG_04416	FGSG_08731	Casein kinase I isoform epsilon	DS231667	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0006281: attachment of spindle microtubules to kinetochore involved in homologous chromosome segregation [GO:0051455]; GO:0006888: cellular bud neck [GO:0005935]; GO:0051455: cellular bud tip [GO:0005934]; GO:0005935: DNA repair [GO:0006281]; GO:0005934: ER to Golgi vesicle-mediated transport [GO:0006888]; GO:0007067: mitotic nuclear division [GO:0007067]; GO:0033551: monopolin complex [GO:0033551]; GO:0005634: nucleus [GO:0005634]; GO:0005886: plasma membrane [GO:0005886]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]; GO:0042273: ribosomal large subunit biogenesis [GO:0042273]; GO:0042274: ribosomal small subunit biogenesis [GO:0042274]; GO:0005816: spindle pole body [GO:0005816]; GO:0002098: tRNA wobble uridine modification [GO:0002098]		POO:0000006:lethal	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1210	PHI:1236	I1RYF8	FGSG_04770	FGSG_09408	G2-specific protein kinase nim-1	DS231668	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0007059: chromosome segregation [GO:0007059]; GO:0005829: cytosol [GO:0005829]; GO:0090307: mitotic spindle assembly [GO:0090307]; GO:0031030: negative regulation of septation initiation signaling [GO:0031030]; GO:0071958: new mitotic spindle pole body [GO:0071958]; GO:0005635: nuclear envelope [GO:0005635]; GO:0010971: positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; GO:1903380: positive regulation of mitotic chromosome condensation [GO:1903380]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]; GO:0031028: septation initiation signaling [GO:0031028]		POO:0000006:lethal	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1211	PHI:1237	I1RZ37	FGSG_01058	FGSG_09660	Uncharacterized protein	DS231668	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:actin filament organization [GO:0007015]; GO:0007015: ATP binding [GO:0005524]; GO:0005737: cytoplasm [GO:0005737]; GO:0033962: cytoplasmic mRNA processing body assembly [GO:0033962]; GO:0005856: cytoskeleton [GO:0005856]; GO:0035556: intracellular signal transduction [GO:0035556]; GO:0046872: metal ion binding [GO:0046872]; GO:0005634: nucleus [GO:0005634]; GO:0030242: peroxisome degradation [GO:0030242]; GO:0004697: protein kinase C activity [GO:0004697]; GO:0060237: regulation of fungal-type cell wall organization [GO:0060237]; GO:0060211: regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060211]; GO:0030427: site of polarized growth [GO:0030427]		POO:0000006:lethal	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1212	PHI:1238	I1S1V3	FGSG_06970	FGSG_10725	Uncharacterized protein	DS231670	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0005737: cytoplasm [GO:0005737]; GO:0071852: fungal-type cell wall organization or biogenesis [GO:0071852]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]		POO:0000006:lethal	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1213	PHI:1239	I1RFC7	FGSG_12149	FGSG_02399	Serine/threonine-protein kinase 6	DS231663	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]		POO:0000003:unaffected pathogenicity	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1214	PHI:1240	I1RWQ0	FGSG_05586	FGSG_08729	Kinase DC2	DS231667	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]		POO:0000003:unaffected pathogenicity	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1215	PHI:1241	I1RAE2	FGSG_07816	FGSG_00469	Serine/threonine-protein kinase psk1	DS231663	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0005829: cytosol [GO:0005829]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]		POO:0000003:unaffected pathogenicity	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1216	PHI:1242	I1RWG2	FGSG_02838	FGSG_08631	Uncharacterized protein	DS231667	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]		POO:0000003:unaffected pathogenicity	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1217	PHI:1243	I1RBW7	FGSG_06420	FGSG_01058	Uncharacterized protein	DS231663	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]		POO:0000003:unaffected pathogenicity	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Aberrant													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1218	PHI:1244	I1RA20	FGSG_00792	FGSG_00337	Calcium/calmodulin-dependent protein kinase type I	DS231663	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0004683: calmodulin-dependent protein kinase activity [GO:0004683]; GO:0005829: cytosol [GO:0005829]; GO:0005634: nucleus [GO:0005634]		POO:0000003:unaffected pathogenicity	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Aberrant													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1219	PHI:1245	I1RTL1	FGSG_01559	FGSG_07520	Uncharacterized protein	DS231666	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]		POO:0000003:unaffected pathogenicity	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1220	PHI:1246	I1RYQ5	FGSG_05549	FGSG_09513	Uncharacterized protein	DS231668	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0005737: cytoplasm [GO:0005737]; GO:0004672: protein kinase activity [GO:0004672]		POO:0000003:unaffected pathogenicity	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1221	PHI:1247	I1S0G8	FGSG_02488	FGSG_10196	Uncharacterized protein	DS231669	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0005794: Golgi apparatus [GO:0005794]; GO:0005643: nuclear pore [GO:0005643]; GO:0004672: protein kinase activity [GO:0004672]; GO:0000049: tRNA binding [GO:0000049]; GO:0006409: tRNA export from nucleus [GO:0006409]		POO:0000003:unaffected pathogenicity	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1222	PHI:1248	I1RRU2	FGSG_03146	FGSG_06832	Uncharacterized protein	DS231666	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0005794: endoplasmic reticulum [GO:0005783]; GO:0005783: fungal-type vacuole membrane [GO:0000329]; GO:0000329: Golgi apparatus [GO:0005794]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]; GO:0032889: regulation of vacuole fusion, non-autophagic [GO:0032889]; GO:0006624: vacuolar protein processing [GO:0006624]		POO:0000003:unaffected pathogenicity	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1223	PHI:1249	I1RB79	FGSG_00132	FGSG_00786	Serine/threonine-protein kinase srk1	DS231663	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]		POO:0000003:unaffected pathogenicity	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1224	PHI:1250	I1RS33	FGSG_12887	FGSG_06940	Uncharacterized protein	DS231666	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0005829: cytosol [GO:0005829]; GO:0005634: nucleus [GO:0005634]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]		POO:0000003:unaffected pathogenicity	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1225	PHI:1251	I1RD19	FGSG_09150	FGSG_01506	Uncharacterized protein	DS231663	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0005829: cytosol [GO:0005829]; GO:0007095: mitotic G2 DNA damage checkpoint [GO:0007095]; GO:1990260: negative regulation of transcription from RNA polymerase II promoter by transcription factor localization involved in response to DNA damage checkpoint signaling [GO:1990260]; GO:0005634: nucleus [GO:0005634]; GO:0018105: peptidyl-serine phosphorylation [GO:0018105]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]; GO:0048478: replication fork protection [GO:0048478]; GO:0072422: signal transduction involved in DNA damage checkpoint [GO:0072422]; GO:0035861: site of double-strand break [GO:0035861]		POO:0000003:unaffected pathogenicity	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1226	PHI:1252	I1RP15	FGSG_12132	FGSG_05764	Uncharacterized protein	DS231665	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0032153: cell division site [GO:0032153]; GO:0051286: cell tip [GO:0051286]; GO:0005829: cytosol [GO:0005829]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]		POO:0000003:unaffected pathogenicity	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1227	PHI:1253	I1RS57	FGSG_11614	FGSG_06970	Uncharacterized protein	DS231666	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0005829: cytosol [GO:0005829]; GO:0005634: nucleus [GO:0005634]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]; GO:0004871: signal transducer activity [GO:0004871]		POO:0000003:unaffected pathogenicity	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Defective													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1228	PHI:1254	I1RDX3	FGSG_07742	FGSG_01842	Uncharacterized protein	DS231663	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0031138: negative regulation of conjugation with cellular fusion [GO:0031138]; GO:0046020: negative regulation of transcription from RNA polymerase II promoter by pheromones [GO:0046020]; GO:0004702: receptor signaling protein serine/threonine kinase activity [GO:0004702]		POO:0000003:unaffected pathogenicity	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1229	PHI:1255	I1RQ67	FGSG_07745	FGSG_06206	Uncharacterized protein	DS231665	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0005794: cell division site [GO:0032153]; GO:0032153: cell tip [GO:0051286]; GO:0051286: cytosol [GO:0005829]; GO:0005829: Golgi apparatus [GO:0005794]; GO:0045806: negative regulation of endocytosis [GO:0045806]; GO:1900417: negative regulation of transmembrane transport by negative regulation of transcription from RNA polymerase II promoter [GO:1900417]; GO:0005886: plasma membrane [GO:0005886]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]; GO:0006808: regulation of nitrogen utilization [GO:0006808]; GO:0090153: regulation of sphingolipid biosynthetic process [GO:0090153]; GO:0022898: regulation of transmembrane transporter activity [GO:0022898]		POO:0000003:unaffected pathogenicity	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
PHI:I1230	PHI:1256	I1RAA6	FGSG_02153	FGSG_00433	Uncharacterized protein	DS231663	229533:Fusarium graminearum PH-1		4564:Triticum	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0032153: cell division site [GO:0032153]; GO:0005829: cytosol [GO:0005829]; GO:0031573: intra-S DNA damage checkpoint [GO:0031573]; GO:0042326: negative regulation of phosphorylation [GO:0042326]; GO:0006139: nucleobase-containing compound metabolic process [GO:0006139]; GO:0005634: nucleus [GO:0005634]; GO:1990294: peptidyl-threonine trans-autophosphorylation [GO:1990294]; GO:0008104: protein localization [GO:0008104]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]		POO:0000003:unaffected pathogenicity	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22216007: Wang C, Zhang S, Hou R, Zhao Z, Zheng Q, Xu Q, Zheng D, Wang G, Liu H, Gao X, Ma JW, Kistler HC, Kang Z, Xu JR. (2011). "Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum." PLoS Pathog 7(12): e1002460. 10.1371/journal.ppat.1002460.	2015-04-18
