PHI-base accession no	PHI-base accession	DB_Type	Accession	Locus ID	Associated strain	Gene name	Genome location	Multiple mutation	Pathogen NCBI Taxonomy ID	Pathogen species	Strain	Disease name	Monocot/Dicot plant	Host NCBI Taxonomy ID	Experimental host	Function	GO annotation	Database	Pathway	Phenotype of mutant	Mating defect prior to penetration	Pre-penetration defect	Penetration defect	Post-penetration defect	Vegetative spores	Sexual spores	In vitro growth	Spore germination	Inducer	CAS	Host target	Host response	Experimental evidence	Species Expert	Entered by	Literature ID	Literature source	DOI	Comments
95	PHI:95	Entrez Protein	AAB66368		ATCC 26555	CSP37			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Membrane protein	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	9244249	PubMed		
96	PHI:96	Entrez Protein	AAA34345		4918	FAS2			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Fatty acid synthetase	GO:0009405, IMP	GO		Loss of pathogenicity 													gene disruption; complementation		TKB	9009352	PubMed		
97	PHI:97	Entrez Protein	AAC62818		SB111	TOXC			5017	Cochliobolus carbonum	164R10	Leaf spot	Monocot	4577	Maize	Fatty acid synthetase	GO:0009405, IMP; GO:0044412	GO	HC-toxin biosynthesis	Reduced virulence		No	No	Yes			Wild type	Wild type					gene disruption		TKB; JA	9057326	PubMed		
98	PHI:98	Entrez Protein	AAB84284		518	umCHS5			5270	Ustilago maydis	FB1, FB2	Corn smut	Monocot	4577	Maize	Chitin Synthase	GO:0009405, IMP	GO		Reduced virulence	No						Reduced						gene deletion; complementation		TKB	9454647	PubMed		
99	PHI:99	Entrez Protein	BAC41196		Guy11	ACR1			148305	Magnaporthe oryzae (related: Magnaporthe grisea)		Rice blast	Monocot	4530	Rice	Putative transcription factor	GO:0009405, IMP; GO:0044409, IMP	GO		Loss of pathogenicity 		Yes	Yes	Yes									gene deletion; complementation		MU	9742203	PubMed		Plasmid insertion
100	PHI:100	Entrez Protein	AAA75366		strain 518 (a2b2)	ADR1			5270	Ustilago maydis	d132, 518, 521	Corn smut	Monocot	4577	Maize	PKA catalytic subunit	GO:0009405, IMP; GO:0051701	GO		Loss of pathogenicity 													gene disruption		MU	9576944	PubMed		
101	PHI:101	Entrez Protein	AAC39471		B-5233	ALB1			746128	Aspergillus fumigatus	B-5233	Respiratory disease		10090	Mouse	Polyketide synthase	GO:0009405, IMP	GO		Reduced virulence													gene disruption; altered gene expression / gene regulation: overexpression; complementation		TKB	9620950; 11040426 	PubMed		
103	PHI:103	Entrez Protein	AAC64374		SAS56	BCPGA1			40559	Botrytis cinerea	SAS56	Grey mold rot	Dicot	4081	Tomato	Endopolygalacturonase	GO:0009405, IMP; GO:0044412	GO		Reduced virulence		No	No	Yes									gene disruption		MU	9768518	PubMed		Tested on tomato leaves
103	PHI:103	Entrez Protein	AAC64374		SAS56	BCPGA1			40559	Botrytis cinerea	SAS56	Grey mold rot	Dicot	4081	Tomato	Endopolygalacturonase	GO:0009405, IMP, GO:0044412	GO		Reduced virulence		No	No	Yes									gene disruption		MU	9768518	PubMed		Tested on tomato fruits
103	PHI:103	Entrez Protein	AAC64374		SAS56	BCPGA1			40559	Botrytis cinerea	SAS56	Grey mold rot	Dicot	3750	Apple	Endopolygalacturonase	GO:0009405, IMP; GO:0044412	GO		Reduced virulence		No	No	Yes									gene disruption		MU	9768518	PubMed		Tested on apple fruits
104	PHI:104	Entrez Protein	CAA67930		CAI-4	CaMNT1			5476	Candida albicans	CAI-4	Candidiasis		10141	Guinea pig	Synthesis of mannoproteins	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	9636208	PubMed		
104	PHI:104	Entrez Protein	CAA67930		CAI-4	CaMNT1			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Synthesis of mannoproteins	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	9636208; 10766761 	PubMed	10.1074/jbc.M909699199	
105	PHI:105	Entrez Protein	AAC61890		SC5314	PLB1			5476	Candida albicans	SC5314	Candidiasis		10090	Mouse	Phospholipase B	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		TKB	9748287; 11535799	PubMed		
106	PHI:106	Entrez Protein	AAC39448		ATCC 10261	CAT1			5476	Candida albicans	ATCC 10261	Candidiasis		10090	Mouse	Catalase	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	9573075	PubMed		
107	PHI:107	Entrez Protein	EAK96519		SC5314	CEK1			5476	Candida albicans	SC5314	Candidiasis		10090	Mouse	MAP kinase	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		TKB	9596738; 9741091	PubMed		FUS3/KSS1 homologue
109	PHI:109	Entrez Protein	AAB61403		UPS9	CLK1			290576	Colletotrichum lindemuthianum	UPS9	Anthracnose	Dicot	3885	Bean	Protein kinase (Ser/thr)	GO:0009405, IMP; GO:0044409; GO:0044412	GO		Reduced virulence		No	Yes	Yes									gene deletion		MU; JK	9450334	PubMed		Partial gene deletion
111	PHI:111	Entrez Protein	AAB49807		88069	INF1			4787	Phytophthora infestans	88069	Late blight	Dicot	4113	Potato	Effector protein				Effector (plant avirulence determinant)													gene disruption		MU	9724689	PubMed		
112	PHI:112	Entrez Protein	AAC49410		156-30-6	MAK1			140110	Nectria haematococca (related: Fusarium solani)	230-30-6	Root rot	Dicot	3827	Chickpea	Maackiain detoxification	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB		Not in PubMed		
113	PHI:113	Entrez Protein	AAC63682		Guy11	MPS1			148305	Magnaporthe oryzae (related: Magnaporthe grisea)	Guy11	Rice blast	Monocot	4530	Rice	MAP kinase	GO:0009405, IMP; GO:0044409	GO	osmotic sensing	Loss of pathogenicity 		No 	Yes	No	Reduced								gene deletion; complementation		MU	9770551	PubMed		SLT2 homologue; Cloning by PCR
114	PHI:114	Entrez Protein	AAC05015		42-87	PG1			5507	Fusarium oxysporum	42-87 (race2)	Vascular wilt	Dicot	4081	Tomato	Endopolygalacturonase				Unaffected pathogenicity									pectin and galacturonic acid				complementation		MU; AB	9450333	PubMed		Expression during all infection stages; Gene introduction to naturally deficient strains
115	PHI:115	Entrez Protein	AAC26146		SB111	PGX1			5017	Cochliobolus carbonum	SB111	Leaf spot	Monocot	4577	Maize	Exopolygalacturonase				Unaffected pathogenicity													gene disruption		MU; JA	9546185	PubMed		
116	PHI:116	Entrez Protein	CAA76740		ATCC46645	PKSP			746128	Aspergillus fumigatus	ATCC46645	Respiratory disease		10090	Mouse	Polyketide Synthase	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		TKB	9832321	PubMed		
120	PHI:120	Entrez Protein	AAB88887		4091-5-8; 4091-5-8	PTH2			148305	Magnaporthe oryzae (related: Magnaporthe grisea)	4091-5-8 and CP987	Rice blast	Monocot	4530	Rice	Carnitine acetyl transferase	GO:0009405, IMP	GO	fatty acid oxidation	Loss of pathogenicity 													gene disruption; complementation		MU	9574508	PubMed		Identification by REMI
121	PHI:121	Entrez Protein	AAB88888		4091-5-8	PTH3			148305	Magnaporthe oryzae (related: Magnaporthe grisea)	4091-5-8 and CP987	Rice blast	Monocot	4530	Rice	Imidazole glycerol phosphate dehydrogenase	GO:0009405, IMP	GO	histidine biosynthesis	Loss of pathogenicity 					Wild type	Wild type	Wild type	Wild type					gene disruption; complementation		MU	9574508	PubMed		Identification by REMI
122	PHI:122	Entrez Protein	AAB88886			PTH8			148305	Magnaporthe oryzae (related: Magnaporthe grisea)	9041-5-8	Rice blast	Monocot	4530	Rice	Pathogenicity protein	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		MU	9574508	PubMed		Identification by REMI
123	PHI:123	Entrez Protein	AAB88889		4091-5-8	PTH9 (NTH1)			148305	Magnaporthe oryzae (related: Magnaporthe grisea)	9041-5-8	Rice blast	Monocot	4530	Rice	Trehalase	GO:0009405, IMP; GO:0044412	GO		Reduced virulence		No	No	Yes	Reduced								gene disruption; complementation		MU	9574508; 12514128 	PubMed		Identification by REMI
124	PHI:124	Entrez Protein	AAA96019		10261	INT1			5476	Candida albicans	10261	Candidiasis		10090	Mouse	Integrin	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		TKB	9478896; 10444345; 10600356; 10847632	PubMed		
125	PHI:125	Entrez Protein	AAA17877		WO1	SAP4		PHI:126; PHI:127	5476	Candida albicans	SC5314	Candidiasis		10141	Guinea pig	Aspartyl proteinase	GO:0009405, IGI	GO		Reduced virulence													gene disruption		TKB	9284117; 9485603; 9632257; 9841840; 10569785; 10540295  	PubMed		
125	PHI:125	Entrez Protein	AAA17877		WO1	SAP4		PHI:126; PHI:127	5476	Candida albicans	SC5314	Candidiasis		10090	Mouse	Aspartyl proteinase	GO:0009405, IGI	GO		Reduced virulence													gene disruption		TKB	9284117; 9485603; 9632257; 9841840; 10569785; 10540295  	PubMed		
126	PHI:126	Entrez Protein	CAA82923		Ca74	SAP5		PHI:125; PHI:127	5476	Candida albicans	SC5314	Candidiasis		10141	Guinea pig	Aspartyl proteinase	GO:0009405, IGI	GO		Reduced virulence													gene disruption		TKB	9284117; 9485603; 9632257; 9841840; 10569785; 10540295; 11796627	PubMed		
126	PHI:126	Entrez Protein	CAA82923		Ca74	SAP5		PHI:125; PHI:127	5476	Candida albicans	SC5314	Candidiasis		10090	Mouse	Aspartyl proteinase	GO:0009405, IGI	GO		Reduced virulence													gene disruption		TKB	9284117; 9485603; 9632257; 9841840; 10569785; 10540295; 11796627	PubMed		
127	PHI:127	Entrez Protein	CAA82924		Ca74	SAP6		PHI:125; PHI:126	5476	Candida albicans	SC5314	Candidiasis		10090	Mouse	Aspartyl proteinase	GO:0009405, IGI	GO		Reduced virulence													gene disruption		TKB	9284117; 9485603; 9632257; 9841840; 10569785; 10540295 	PubMed		
127	PHI:127	Entrez Protein	CAA82924		Ca74	SAP6		PHI:125; PHI:126	5476	Candida albicans	SC5314	Candidiasis		10141	Guinea pig	Aspartyl proteinase	GO:0009405, IGI	GO		Reduced virulence													gene disruption		TKB	9284117; 9485603; 9632257; 9841840; 10569785; 10540295 	PubMed		
128	PHI:128	Entrez Protein	AAC34140		Guy11	SUM1			148305	Magnaporthe oryzae (related: Magnaporthe grisea)	Guy11	Rice blast	Monocot	4530	Rice	PKA regulatory subunit			cAMP signalling	Unaffected pathogenicity													mutation: characterised		MU	9707535	PubMed		Point mutation
129	PHI:129	Entrez Protein	AAC39450		B-4500	CAP60			5207	Cryptococcus neoformans	B-4500	Cryptococcosis		10090	Mouse	Capsule associated protein	GO:0009405, IMP	GO		Reduced virulence													gene deletion; complementation		TKB; SH	9573112	PubMed		
130	PHI:130	Entrez Protein	CAA69223			TPS1			5476	Candida albicans	SC5314	Candidiasis		10090	Mouse	Trehalose-6-phosphate synthase	GO:0009405, IMP; GO:0003825, NAS	GO		Reduced virulence													gene disruption; complementation		TKB	9683476; 14587100	PubMed	10.1002/yea.1029	
131	PHI:131	Entrez Protein	AAD12756		NRRL 3299	TRI12			5514	Fusarium sporotrichioides	NRRL3299	Fusarium ear blight	Monocot	4564	Wheat	Toxin efflux pump 			trichothecene secretion	Unaffected pathogenicity													gene disruption		MU; AB	10485289	PubMed		
132	PHI:132	Entrez Protein	AAB86640		Guy11	ABC1			148305	Magnaporthe oryzae (related: Magnaporthe grisea)	Guy11	Rice blast	Monocot	4530	Rice	ABC transporter	GO:0042626; GO:0009405, IMP; GO:0044412	GO		Reduced virulence		No	No	Yes	Yes								gene deletion		MU	9927411	PubMed	10.1093/emboj/18.3.512	Partial gene deletion
133	PHI:133	Entrez Protein	BAA36588		15A	AKT1			5599	Alternaria alternata	15A	Black spot	Dicot	23211	Pear	Carboxyl-activating enzyme, essential for AK Toxin	GO:0009405, IMP; GO:0044409; GO:0044412	GO		Loss of pathogenicity 		No	Yes	Yes									gene disruption		TKB	10432635	PubMed		
134	PHI:134	Entrez Protein	BAA36589		15A	AKT2			5599	Alternaria alternata	15A	Black spot	Dicot	23211	Pear	Unknown, mutant is AK toxin non-producer	GO:0009405, IMP; GO:0044409; GO:0044412	GO		Loss of pathogenicity 		No	Yes	Yes									gene disruption		TKB	10432635	PubMed		
135	PHI:135	Entrez Protein	AAA91036		ATCC 26199	BAD1 (WI-1)			5039	Blastomyces dermatitidis	ATCC26199, ATCC60915			10090	Mouse	Adhesin	GO:0009405, IMP	GO		Loss of pathogenicity 													gene deletion; complementation		TKB	10209038; 12023375; 16243837	PubMed		
136	PHI:136	Entrez Protein	AAC39451		SC5314	CaHK1/CHK1			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Histidine Kinase	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		TKB	10417206; 14734021; 15470110	PubMed		Heterozygous gene disruption
136	PHI:136	Entrez Protein	AAC39451		SC5314	CaHK1/CHK1			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Histidine Kinase	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	10572127; 14734021; 15470110	PubMed		
136	PHI:136	Entrez Protein	AAC39451		SC5314	CaHK1/CHK1			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Histidine Kinase	GO:0009405, IMP	GO		Loss of pathogenicity 													gene disruption; complementation		TKB	10417206; 14734021; 15470110	PubMed		Homozygous gene disruption
136	PHI:136	Entrez Protein	AAC39451		SC5314	CaHK1/CHK1			5476	Candida albicans	CAI-4	Candidiasis		10114	Rat	Histidine Kinase	GO:0009405, IMP	GO		Unaffected pathogenicity													gene disruption; complementation		TKB	10417206; 14734021; 15470110	PubMed		
138	PHI:138	Entrez Protein	BAA24952			CaNIK1			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Histidine Kinase	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	10572127	PubMed		
139	PHI:139	Entrez Protein	BAC76819		CBS131	CAP10			5207	Cryptococcus neoformans	cap10-F2F0	Cryptococcosis		10090	Mouse	Capsule formation	GO:0009405, IMP	GO		Reduced virulence													gene deletion; complementation		TKB; KHK	10482503	PubMed		
140	PHI:140	Entrez Protein	BAA24951			CaSLN1			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Histidine Kinase	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	10572127	PubMed		
141	PHI:141	Entrez Protein	AAC78076		PR	CFP			84275	Cercospora kikuchii	PR	Leaf blight and purple seed stain	Dicot	3847	Soybean	Cercosporin secretion	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		MU	10517030	PubMed		
142	PHI:142	Entrez Protein	AAF05913		C4	CHK1			5016	Cochliobolus heterostrophus	C4	Leaf blight	Monocot	4577	Maize	MAP kinase	GO:0009405, IMP	GO		Reduced virulence		No	No	No Data	No conidia	Sterile	Reduced						gene disruption		MU	10557357; 12671080	PubMed		FUS3/KSS1 homologue
143	PHI:143	Entrez Protein	AAA33353		T-442	CHT			5563	Gloeocercospora sorghi	T-442	Leaf spot/blight	Monocot	4558	Sorghum	Cyanide hydratase				Unaffected pathogenicity													gene disruption		MU	10587474	PubMed	10.1006/fgbi.1999.1167	Expression during infection stage (HCN)
144	PHI:144	Entrez Protein	AAC05829			CHT42			29875	Trichoderma virens	Tv10.4	Mycopathogen 		107832	Rhizoctonia solani	Chitinase	GO:0009405, IMP	GO		Reduced virulence													gene deletion		TKB	10022948	PubMed		
146	PHI:146	Entrez Protein	AAC04355			CT-PKAC			5466	Colletotrichum trifolii		Anthracnose	Dicot	3879	Alfalfa	PKA catalytic subunit	GO:0009405, IMP; GO:0044409	GO	cAMP signalling	Loss of pathogenicity 		No	Yes	No	Altered production of conidia								gene deletion		MU	10226376	PubMed		
149	PHI:149	Entrez Protein	CAA62214		1001	HOG1			5476	Candida albicans	SC5314	Candidiasis		10090	Mouse	MAP Kinase	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		TKB	10322006	PubMed		HOG1 homologue
151	PHI:151	Entrez Protein	AAF15528		a2b3	KPP2			5270	Ustilago maydis	FB1. FB2, CL13	Corn smut	Monocot	4577	Maize	MAP kinase	GO:0009405, IMP; GO:0051701; GO:0005186, IMP	GO		Reduced virulence	Yes	Yes	No Data	No Data									gene disruption; complementation		MU	10594825	PubMed		FUS3/KSS1 homologue
153	PHI:153	Entrez Protein	AAF09475		Guy11	OSM1			148305	Magnaporthe oryzae (related: Magnaporthe grisea)	Guy11	Rice blast	Monocot	4530	Rice	MAP kinase				Unaffected pathogenicity													gene deletion		MU	10521531	PubMed		HOG1 homologue
156	PHI:156	Entrez Protein	AAD44111		H99	STE12alpha			5207	Cryptococcus neoformans	H99	Cryptococcosis		9986	Rabbit	Transcription factor				Unaffected pathogenicity													gene disruption; complementation		TKB; KHK	10581270	PubMed		Serotype A
156	PHI:156	Entrez Protein	AAD44111		H99	STE12alpha			5207	Cryptococcus neoformans	H99	Cryptococcosis		10090	Mouse	Transcription factor				Unaffected pathogenicity													gene disruption; complementation		TKB; KHK	10581270	PubMed		Serotype A
157	PHI:157	Entrez Protein	AAD45321		SB111	TOXF			5017	Cochliobolus carbonum	164R10	Leaf spot	Monocot	4577	Maize	Branched-chain-amino-acid aminotransferase	GO:0009405, IMP	GO		Loss of pathogenicity 													gene disruption		MU; JA	10627051	PubMed		
158	PHI:158	Entrez Protein	AAC09291		521	UKC1			5270	Ustilago maydis	d132, UT0305, ISO1-1	Corn smut	Monocot	4577	Maize	Protein kinase	GO:0009405, IMP; GO:0044409	GO		Reduced virulence	No	Yes	Yes	No Data									gene deletion		MU	10102363	PubMed		
159	PHI:159	Entrez Protein	AAC62627		G184AS	URA5			5037	Histoplasma capsulatum	G184AS	Histoplasmosis (pulmonary disease)		10090	Mouse	Pyrimidine biosynthesis	GO:0009405, IMP	GO		Loss of pathogenicity 													gene deletion; complementation		TKB	9916068	PubMed		
160	PHI:160	NULL	AAF01762 		M-71	AMT			5599	Alternaria alternata	M-71	Alternaria leaf blotch	Dicot	3750	Apple	AM toxin synthase	GO:0009405, IMP; GO:0044409	GO	toxin synthesis	Loss of pathogenicity 			Yes										gene disruption		MU	10875335	PubMed		
161	PHI:161	Entrez Protein	AAG23132		BC29; BC29	BMP1			40559	Botrytis cinerea	A-1-3	Grey mold rot	Dicot	3570	Carnation	MAP kinase	GO:0009405, IMP; GO:0044409; GO:0044412	GO		Loss of pathogenicity 		Yes	Yes	Yes	Wild type								gene deletion; complementation		MU	10875333	PubMed		FUS3/KSS1 homologue, Carnation flowers
161	PHI:161	Entrez Protein	AAG23132		BC29; BC29	BMP1			40559	Botrytis cinerea	A-1-3	Grey mold rot	Dicot	4081	Tomato	MAP kinase	GO:0009405, IMP; GO:0044409; GO:0044412	GO		Loss of pathogenicity 		Yes	Yes	Yes	Wild type								gene deletion; complementation		MU	10875333	PubMed		FUS3/KSS1 homologue, Tomato leaves
161	PHI:161	Entrez Protein	AAG23132		BC29; BC29	BMP1			40559	Botrytis cinerea	A-1-3	Grey mold rot	Dicot	3764	Rose	MAP kinase	GO:0009405, IMP; GO:0044409; GO:0044412	GO		Loss of pathogenicity 		Yes	Yes	Yes	Wild type								gene deletion; complementation		MU	10875333	PubMed		FUS3/KSS1 homologue, Rose flowers
162	PHI:162	Entrez Protein	AAF69680		ATCC 10259	CaFTR1			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	High-affinity iron permease	GO:0009405, IMP	GO		Loss of pathogenicity 													gene disruption; complementation		TKB	10807578	PubMed		
163	PHI:163	Entrez Protein	AAC39354		G186AR	CBP1			5037	Histoplasma capsulatum	G186ARura5, G217Bura5	Histoplasmosis (pulmonary disease)		10090	Mouse	Calcium binding protein	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		MU	11082066	PubMed		
164	PHI:164	Entrez Protein	AAB92221		UQ62	CgDN3			5457	Colletotrichum gloeosporioides	UQ62	Anthracnose	Dicot	35627	Stylosanthes	Suppressor of plant defense	GO:0009405, IMP; GO:0044409	GO		Loss of pathogenicity 			Yes	No					early infection stage				gene deletion		MU; JK	10975650	PubMed		necessarry to avert hypersensitive response in host; Partial gene deletion
